ID,Label,Therapist_Words_in_Transcript/Conversation_Per_Turn,Client_Words_in_Transcript/Conversation_Per_Turn,Ratio_of_Therapist_Client_Words_in_Transcript/Conversation_Per_Turn,Client_Questions_in_Transcript/Conversation_Per_Turn,Therapist_Questions_in_Transcript/Conversation_Per_Turn,Ratio_of_Client_Question/ Therapist_Questions_in_Transcript/Conversation_Per_Turn,Client_Turns_in_Transcript/Conversation,Therapist_Turns_in_Transcript/Conversation,Ratio_of_Client_Therapist_Turns_in_Transcript/Conversation,Average_Speaking_Time_of_Each_Speaker_in_Transcript/Conversation_Per_Turn,STD_Therapist_Words_in_Transcript/Conversation,Skew_Therapist_Words_in_Transcript/Conversation,Kurt_Therapist_Words_in_Transcript/Conversation,STD_Client_Words_in_Transcript/Conversation,Skew_Client_Words_in_Transcript/Conversation,Kurt_Client_Words_in_Transcript/Conversation,MODEL_A_Sem_All_Avg,MODEL_A_Sem_All_SD,MODEL_A_Sem_All_Skew,MODEL_A_Sem_All_Kurt,MODEL_A_Sem_Adj_Avg,MODEL_A_Sem_Adj_SD,MODEL_A_Sem_Adj_Skew,MODEL_A_Sem_Adj_Kurt,MODEL_B_Sem_All_Avg,MODEL_B_Sem_All_SD,MODEL_B_Sem_All_Skew,MODEL_B_Sem_All_Kurt,MODEL_B_Sem_Adj_Avg,MODEL_B_Sem_Adj_SD,MODEL_B_Sem_Adj_Skew,MODEL_B_Sem_Adj_Kurt,MODEL_C_Sem_All_Avg,MODEL_C_Sem_All_SD,MODEL_C_Sem_All_Skew,MODEL_C_Sem_All_Kurt,MODEL_C_Sem_Adj_Avg,MODEL_C_Sem_Adj_SD,MODEL_C_Sem_Adj_Skew,MODEL_C_Sem_Adj_Kurt,Overall_Sentiment_of_Client,Change_in_Client_Sentiment_in_Transcript/Conversation,Engagement
high_014,high,20.69230769,72.91666667,0.28378022,1.36,0.24,5.666666667,12,13,1.083333333,6.710558442,15.59585744,1.014775207,0.52821993,43.13922141,0.449617427,0.972810415,0.366071074,0.223546189,0.548269337,-0.41218876,0.34601814,0.189132965,0.772448439,0.231558694,0.777014895,0.070775128,-0.301744411,-0.656024181,0.781014582,0.06727587,-0.260104381,-0.721687639,0.316048689,0.128856399,0.249459526,0.174469456,0.352059758,0.146710234,0.085575565,-1.227509018,1,10,1
high_015,high,46.46666667,57.26666667,0.811408615,0.533333333,0.6,0.888888889,15,15,1,3.56540293,73.06246512,3.094288113,10.1591544,55.68080801,0.462426022,-1.562954295,0.305909477,0.235188098,0.964099981,0.486593252,0.339041538,0.254073825,0.649531135,-0.522430808,0.749389364,0.068094877,-0.189852519,-0.590963444,0.748490736,0.077726473,-0.193454757,-0.597169109,0.272284016,0.139929309,0.291374763,0.233159318,0.281576903,0.140457939,0.407518596,-0.353672353,1,10,0
high_016,high,46.36,25.875,1.791690821,0.183673469,1.12244898,0.163636364,24,25,1.041666667,4.668547718,32.19456476,0.871965613,0.271432389,24.50077639,0.989818613,0.515801627,0.325842487,0.205319155,0.276268751,-0.583494767,0.351028164,0.227472172,0.070727684,-1.06105873,0.751021462,0.073439673,-0.128500578,-0.823063875,0.76084333,0.076366429,-0.167795075,-1.038994905,0.298931416,0.161652322,0.503383001,-0.258460395,0.300038185,0.165482928,0.394814615,-0.690921378,1,8,1
high_017,high,25.35,51.68421053,0.490478615,0.179487179,0.282051282,0.636363636,19,20,1.052631579,4.539227092,28.79925986,2.050222478,3.786366703,79.78446844,3.287489869,12.51220998,0.280024456,0.206953653,0.788779758,0.396067991,0.287720152,0.197362149,0.954413871,1.070251591,0.725423608,0.078506352,0.026973047,-0.623632712,0.721203694,0.081429083,0.050039751,-1.074683824,0.299933508,0.137634029,0.542284929,1.011184634,0.311165419,0.128188524,-0.15743544,-0.807298002,1,13,1
high_018,high,11.59259259,45.59259259,0.254264825,0.314814815,0.111111111,2.833333333,27,27,1,,10.37845127,1.35595924,0.696103943,53.50431993,1.858457552,4.645873668,0.268946901,0.200175766,0.884859851,0.698727367,0.281350413,0.207155884,1.185201162,0.926983251,0.726835453,0.075634683,0.444762106,0.185349474,0.714456456,0.070206303,0.290179424,-0.67245746,0.321807455,0.153631747,0.835865385,1.047899001,0.320558858,0.171987243,0.740962761,0.181554929,1,15,1
high_019,high,13.87323944,18.62318841,0.744944374,0.178571429,0.192857143,0.925925926,69,71,1.028985507,6.160010033,10.53420222,1.049267896,0.29247101,20.21363943,0.908403917,-0.410061461,0.291218004,0.190454788,0.941850758,1.58759699,0.308974126,0.182057366,0.559817428,-0.185169786,0.733663452,0.076922287,0.512235017,0.600854521,0.715390925,0.070324006,0.307955239,-0.712533327,0.325461194,0.169030669,1.232648825,2.506666806,0.318370938,0.126451487,0.582513902,0.348817484,1,26,0
high_020,high,24.55384615,8.676923077,2.829787234,0.076923077,0.407692308,0.188679245,65,65,1,5.712918782,27.62586581,2.069174477,4.100312426,17.21019655,3.595480171,14.82937498,0.316900169,0.238348774,0.799012984,0.435528198,0.254530097,0.206590643,0.488230826,0.398074567,0.731081601,0.076143045,0.896087208,1.786668886,0.705211794,0.064489171,0.365254887,-0.595291376,0.370792554,0.189553525,1.289743051,1.742261764,0.304997659,0.12121036,0.712752498,0.382939998,1,18,1
high_021,high,29.83928571,29.96296296,0.995872329,0.381818182,0.3,1.272727273,54,56,1.037037037,4.807161826,39.46080992,2.520727606,6.886021599,33.8291841,1.38633153,1.14617142,0.262205753,0.196098061,0.791523127,0.489454954,0.284247162,0.188190996,0.335491174,-0.583193783,0.724258612,0.074472657,0.226303025,0.029915352,0.732241039,0.081029193,0.041612271,-0.714004478,0.301295692,0.153224474,0.926607602,1.398917157,0.330912508,0.125153368,0.294083164,-0.407774361,1,27,1
high_023,high,26.75,17.125,1.562043796,0.125,0.5,0.25,8,8,1,4.751085106,30.76988323,1.87628047,3.745216676,19.73711153,1.241863344,0.077807478,0.310529502,0.163403352,0.087148585,-0.189516323,0.334742314,0.171574201,0.126567042,-0.175144113,0.765481531,0.065211041,0.081453278,-0.714851395,0.752359859,0.084668105,-0.013607116,-1.195697856,0.384954376,0.146948128,0.630384779,-0.224367863,0.35703913,0.11622602,0.440492001,-0.3585696,1,2,0
high_024,high,50.66666667,10.16666667,4.983606557,0.166666667,1.416666667,0.117647059,6,6,1,3.862233766,37.18960428,0.459425374,-1.795622505,13.55605646,1.433982213,0.979205887,0.326148123,0.228354641,0.39130601,-0.640066524,0.298029586,0.222311909,-0.136121391,-1.435442311,0.752531789,0.072280665,0.317509706,-0.899712637,0.750729675,0.075342233,0.148907199,-1.677167889,0.313116489,0.13300431,0.385405192,0.480932793,0.285669341,0.105355098,0.109495608,-0.767111295,1,5,0
high_025,high,42.72727273,8.2,5.210643016,0.047619048,0.428571429,0.111111111,10,11,1.1,5.125365854,34.00908969,0.833655414,-0.359883547,6.460134158,0.592723524,-1.409795445,0.293429755,0.202958379,0.729195546,0.629766023,0.228912279,0.182473781,0.312256698,-0.356582777,0.750906562,0.072183833,0.034968791,0.160011936,0.734159565,0.071297783,-0.116582716,-0.205644378,0.316666595,0.170826367,1.038351162,1.201422633,0.289057418,0.145633405,1.177815783,1.110940712,1,8,0
high_026,high,21.4,13.57142857,1.576842105,0.103448276,0.206896552,0.5,14,15,1.071428571,3.683137255,18.2553319,2.11326465,6.025668844,14.5375603,2.244351266,5.529551872,0.253475669,0.159097304,0.548243732,0.622018965,0.271427593,0.177574996,-0.030034978,-0.642656257,0.73242993,0.074657347,0.175573168,-0.303237556,0.734717173,0.074940196,-0.04814146,-1.092227176,0.312065657,0.148661484,0.716225032,0.250304251,0.348991039,0.158917204,0.246941088,-0.801245464,1,9,0
high_027,high,17.875,20.3125,0.88,0.28125,0.40625,0.692307692,16,16,1,5.738690476,14.84531351,1.461874894,2.702907674,22.81437778,1.092575092,0.198321656,0.238708853,0.183347405,0.689761922,0.968822456,0.224810084,0.14418169,0.174093219,-0.710286266,0.724683653,0.072799787,-0.022250257,0.32816613,0.704329016,0.054579695,-0.328887272,-0.596334333,0.328157398,0.145657303,0.941330076,1.688287291,0.296448474,0.108280289,0.145618115,-1.048912192,1,2,0
high_028,high,22.66666667,8.117647059,2.792270531,0.028571429,0.285714286,0.1,17,18,1.058823529,5.183613636,19.16184935,0.421250158,-1.313160351,13.2659449,1.851323492,1.756936701,0.290694054,0.209627797,0.649839393,0.103650909,0.307388621,0.236323022,0.261879193,-0.813354363,0.713581579,0.0771135,0.609093025,-0.041227785,0.716558865,0.076223595,0.324389692,-1.297819098,0.364691283,0.19371288,0.768235759,0.000328313,0.36797066,0.17720228,0.181292444,-1.108006183,1,5,0
high_029,high,46.83333333,28.58333333,1.638483965,0.166666667,0.958333333,0.173913043,12,12,1,2.494935484,52.31692466,1.805912688,3.953213059,26.94255955,1.001609805,0.014915377,0.285574019,0.209120983,0.630251766,-0.238263298,0.352231521,0.213117813,0.65197103,-0.263403886,0.752680878,0.074573158,-0.033224944,-0.808707608,0.749648286,0.084362904,0.405309731,-0.983937211,0.292085926,0.140998126,0.53148033,0.08046829,0.320963683,0.154518001,0.416555703,-0.745385935,1,5,0
high_030,high,17.75,7.25,2.448275862,0,0.142857143,,28,28,1,4.243887097,20.58518885,2.456958065,7.170203823,11.9524521,2.737171363,8.379417019,0.318571429,0.250221572,1.092423269,0.757255362,0.279906019,0.200559029,0.79671712,0.109323553,0.739031352,0.085781273,1.188519728,1.741749243,0.705853757,0.052615873,0.556676354,-0.537132861,0.36606083,0.227441787,1.019590451,0.795971651,0.271871496,0.161663427,0.292693092,-0.932850302,1,5,0
high_031,high,14.11111111,15,0.940740741,0.210526316,0.105263158,2,10,9,0.9,4.579813084,18.34015025,1.134786058,-0.181345488,12.68419839,0.73625016,-0.320683525,0.268840589,0.251568643,1.350160189,1.813478287,0.126802575,0.144664946,0.692663754,-0.468349289,0.730747377,0.097006859,1.09443728,1.171901424,0.679484202,0.065668627,0.8789071,-0.089698913,0.339007624,0.212449305,1.723116217,3.066368631,0.237284113,0.113479749,1.520743628,3.84635497,1,8,0
high_032,high,23.77777778,19.94117647,1.192395936,0.228571429,0.371428571,0.615384615,17,18,1.058823529,5.164821212,25.68028668,1.543332884,1.635947089,25.95301184,2.979780813,10.2829322,0.281572884,0.160119451,0.384856056,0.329640802,0.360823134,0.203286773,0.407264755,-0.109532198,0.747986426,0.065910995,-0.091956066,-0.345320969,0.749950514,0.072638225,0.15869081,-0.847350963,0.297257716,0.136704196,0.669082098,0.386693881,0.302700224,0.167041293,0.688095416,0.410550931,1,7,0
high_033,high,42.30769231,22.16666667,1.908617698,0.12,0.28,0.428571429,12,13,1.083333333,4.326613793,26.94557668,0.790402485,-0.628964467,15.19469604,-0.065734697,-1.227430371,0.30242781,0.180012367,0.271222943,-0.028714166,0.310852397,0.182615,-0.288623496,-0.505255816,0.752697466,0.059468975,-0.286480985,-0.230320033,0.752006975,0.063105404,-0.968682663,0.076623729,0.296287511,0.119777889,0.523690266,0.473053701,0.278861175,0.119644774,0.089855918,-0.893178632,2,6,0
high_034,high,20.75,48.58333333,0.427101201,0.333333333,0.291666667,1.142857143,12,12,1,5.200880597,12.49818169,0.908025582,-0.291814454,49.99537857,0.473553128,-1.650710766,0.289141953,0.211574329,0.911767482,0.929670433,0.316287253,0.155130753,-0.027684478,-0.781744236,0.749301174,0.072119624,0.281383603,0.681895904,0.746643279,0.071873553,-0.470862033,-0.954754053,0.330203427,0.139992772,1.406240883,4.536614198,0.343086622,0.087652146,0.034687154,-1.042010378,1,7,0
high_035,high,18.6,37.33333333,0.498214286,0.533333333,0.1,5.333333333,15,15,1,4.226403509,18.17297837,1.068221448,0.289884326,25.8972328,0.900892418,1.000815634,0.270853567,0.199101085,0.314193332,0.285674504,0.257396746,0.173868772,0.083422669,-0.259188702,0.745776971,0.071880525,-0.003659938,-0.026851353,0.755371848,0.077964731,-0.008577092,-0.955589931,0.286084628,0.17344988,0.779203108,0.518851333,0.305523584,0.177809868,0.565880453,-0.554627879,2,9,0
high_036,high,28.66666667,30.06666667,0.953436807,0.433333333,0.433333333,1,15,15,1,,15.80536377,-0.312716221,-0.24157084,21.38913832,0.865494151,-0.107047326,0.273298817,0.166052808,0.218619922,-0.488948957,0.282112947,0.178786148,0.092185259,-0.372124123,0.758213798,0.059310504,-0.440187846,-0.208889348,0.750653043,0.071487695,-0.33610547,-0.652735633,0.274658335,0.13813577,0.314224237,-0.043768448,0.284386162,0.144975296,-0.345933884,-0.445736564,1,7,0
high_037,high,57.73333333,13.5,4.27654321,0.034482759,0.862068966,0.04,14,15,1.071428571,5.777721854,58.09409445,1.457270257,1.976645118,10.05178897,0.079792321,-1.512986353,0.260882978,0.182697465,1.102924029,1.689168955,0.301297542,0.177167082,0.011034675,-0.846838856,0.728252204,0.079709162,-0.305173087,-0.364278204,0.732177677,0.071532387,-0.111333285,-1.125548054,0.2999142,0.153226803,0.47312761,-0.014767873,0.338423623,0.178917263,0.298721612,-0.689241651,1,6,0
high_038,high,20.89655172,7.714285714,2.708812261,0.070175439,0.421052632,0.166666667,28,29,1.035714286,6.068845161,21.60414118,1.909460975,4.401925465,10.23377539,2.092815056,4.597214782,0.331466863,0.18566239,0.730710733,0.844938865,0.31090615,0.184450469,0.381261842,-0.365187238,0.734781952,0.068924152,0.42846752,0.488411302,0.709762685,0.063947037,0.198147016,-0.052850373,0.352010182,0.166704494,0.94645668,1.279841595,0.27958452,0.132048494,0.837029884,1.361522939,1,12,0
high_039,high,38.57894737,20.47368421,1.884318766,0.5,0.315789474,1.583333333,19,19,1,3.973204651,29.3736764,2.771121661,9.49386106,18.70938095,1.504797956,1.940790449,0.286888034,0.168533333,0.528915526,0.068764772,0.318569446,0.17354865,0.241909402,-0.796685892,0.755357862,0.069011537,-0.286563144,-0.227175634,0.762228265,0.067758266,-0.225404091,-0.729103771,0.321234651,0.146421856,0.691814214,0.151744305,0.330351836,0.155263897,0.283510512,-1.076318632,1,10,0
high_040,high,19.6097561,8.75,2.241114983,0.12345679,0.197530864,0.625,40,41,1.025,4.677777778,17.64635663,1.369452517,1.22212626,9.38561365,1.543652208,1.588008439,0.258565494,0.179833043,0.431778386,0.012380166,0.306166814,0.194129791,0.530723652,-0.426895248,0.708924528,0.066823941,0.060811547,-0.259355385,0.710756675,0.071979868,0.100873996,-0.478634716,0.313824201,0.140193129,0.664668041,0.23335441,0.29543705,0.124095551,0.712572665,0.403620572,2,19,0
high_041,high,36.72727273,18,2.04040404,0.090909091,0.522727273,0.173913043,22,22,1,5.168159509,28.47418516,2.038229175,5.807917289,16.64760815,0.50231048,-1.23441175,0.293638394,0.202865584,0.340719356,-0.453995112,0.275779063,0.212674524,-0.016614247,-1.060317956,0.733018236,0.081053365,-0.166014084,-0.136190779,0.724900452,0.082928269,-0.027535848,-1.108024763,0.314131144,0.168492067,0.678727167,-0.271629299,0.320925109,0.173838333,0.488906516,-0.888753048,1,13,1
high_042,high,25.20833333,28.75,0.876811594,0.25,0.291666667,0.857142857,24,24,1,5.491710227,26.36858996,2.002322948,3.97574032,39.83907848,1.182687555,-0.231637431,0.322027571,0.231569096,0.722462242,0.007561509,0.300327073,0.206485569,0.056591055,-1.13994863,0.742888467,0.078127893,0.239366978,-0.060747544,0.728845754,0.070687368,-0.031291002,-1.024253092,0.337509419,0.18076335,0.962828323,1.141242728,0.287512569,0.149225736,0.515822,-0.287458355,1,6,1
high_043,high,39.60869565,16,2.475543478,0.234042553,0.361702128,0.647058824,24,23,0.958333333,4.373934524,70.75999071,3.21282829,11.91092499,20.72805282,2.027022423,3.80608674,0.281574352,0.213795835,0.710643044,0.132786079,0.260989474,0.187976257,0.234529121,-0.742820208,0.731452392,0.068523913,0.429440086,0.025322504,0.706745768,0.062383119,0.167655225,-0.595537136,0.343637532,0.160166994,0.857991184,1.155769337,0.281086202,0.124015027,0.23128772,-0.032751024,2,9,0
high_044,high,21.875,19,1.151315789,0.328125,0.203125,1.615384615,32,32,1,,22.12537589,0.982649575,0.014985189,21.77598559,1.771227811,3.798327406,0.260028203,0.213206339,0.617098568,0.00415093,0.234391711,0.210853563,0.787963421,-0.041261365,0.741014872,0.06990857,0.345076012,0.067681098,0.722172535,0.074364451,0.2593409,-0.63966243,0.338797999,0.161761634,0.915148764,0.945330228,0.303720621,0.147516434,0.678437785,-0.279163285,2,16,1
high_045,high,27.84615385,77.76923077,0.358061325,2.038461538,0.269230769,7.571428571,13,13,1,,28.3220943,2.137915677,5.650249292,89.85001748,0.989029822,-0.624900053,0.315745223,0.207928015,0.674789552,0.195753258,0.357564547,0.177681353,0.218185019,-0.364615484,0.775345579,0.074547249,-0.087265776,-0.917014959,0.782866671,0.070032042,-0.442344428,-0.901432495,0.323402349,0.165085619,0.354358866,-0.443641247,0.351788201,0.140954025,0.363531192,-0.744955972,1,8,1
high_046,high,31.17241379,16.4137931,1.899159664,0.275862069,0.431034483,0.64,29,29,1,4.80572449,25.5427778,1.809618745,3.830389792,15.68556489,0.589785748,-1.089055571,0.253865879,0.186211861,0.617846332,0.428288196,0.246710899,0.194467067,0.195077654,-0.712226508,0.718288404,0.08434069,-0.218764962,-0.229503996,0.690709772,0.086237367,-0.461593349,-0.501964314,0.301522184,0.165007996,0.843891195,0.385937856,0.265964276,0.146667842,0.6117942,-0.115463251,1,13,1
high_047,high,36.61904762,34.35,1.066056699,0.536585366,0.341463415,1.571428571,20,21,1.05,5.350447761,62.20247277,1.776683582,2.074669004,28.25126918,0.982751415,0.938783831,0.2870418,0.248031209,0.929124427,0.166048739,0.268662037,0.210354834,0.603590759,-0.511087171,0.729791696,0.087538726,0.24515399,-0.078248315,0.699709909,0.084325599,0.299456302,-0.996052125,0.297115722,0.212519677,0.879451103,0.495750162,0.237281416,0.159497342,0.560755949,-0.63330493,1,12,1
high_048,high,24.0952381,37.47619048,0.642947903,0.928571429,0.428571429,2.166666667,21,21,1,5.528812785,9.342937236,0.087492717,-1.023611504,40.06322384,3.381088426,13.60374819,0.376062853,0.161071812,-0.081156332,-0.273007727,0.404317864,0.1955669,-0.744785245,-0.260342379,0.778665374,0.056059831,-0.319522141,-0.034385041,0.773894342,0.051753113,-0.443376431,-0.439676129,0.330564567,0.135352485,0.483419228,0.543062199,0.342496424,0.135982484,-0.222963298,-0.798895691,1,12,1
high_049,high,23.79310345,29.31034483,0.811764706,0.448275862,0.293103448,1.529411765,29,29,1,5.018279412,14.92212956,0.706677252,-0.333850566,43.15015597,1.453548668,0.617406144,0.26323714,0.220071879,1.243765666,1.520525334,0.258420365,0.175293458,0.848107778,0.559550666,0.73483428,0.077131255,0.720705418,1.230270452,0.716936813,0.076588441,0.346655743,0.065517821,0.302816668,0.174334828,1.78230836,4.000770626,0.287751978,0.118961286,1.217242452,1.509500613,1,9,1
high_050,high,39.57894737,44.72222222,0.884995096,0.837837838,0.675675676,1.24,18,19,1.055555556,4.121759531,37.08895581,0.774468862,-0.558524871,52.28182178,1.728246607,2.940649146,0.318381623,0.22485081,0.765092022,0.000539653,0.292764017,0.187099346,0.828838266,0.457432783,0.77096148,0.065870631,-0.176778923,-0.282423132,0.759279039,0.071369343,-0.336269727,-0.837535818,0.303720791,0.121733508,0.133454922,-0.282001221,0.310383305,0.120852373,0.205656971,-0.60315884,1,10,0
